lab,max_t,num_obs,md
rep-number,40.0,40,3.1456649685951947
growth-rate,40.0,40,4.219529221366647
beta,40.5,40,2.0474216192826096
rep-number,40.5,40,3.143939795200806
growth-rate,40.5,40,4.214376528872619
beta,41.0,40,2.0445875234389392
rep-number,41.0,40,3.142036763088618
growth-rate,41.0,40,4.209242690868675
beta,1.0,10,-12.367992464568966
rep-number,1.0,10,-12.205356620329873
growth-rate,1.0,10,-0.4975888489451542
beta,1.5,10,-10.78254543867285
rep-number,1.5,10,-10.615828428119066
growth-rate,1.5,10,0.041227041614853355
beta,2.0,10,-9.544785951621732
rep-number,2.0,10,-9.372871651897484
growth-rate,2.0,10,0.46302735360874037
beta,2.5,10,-8.497439913554688
rep-number,2.5,10,-8.318929784974952
growth-rate,2.5,10,0.8193760765540724
beta,3.0,10,-7.572066353797508
rep-number,3.0,10,-7.385268472303651
growth-rate,3.0,10,1.1328813686400672
beta,3.5,10,-6.734046919412492
rep-number,3.5,10,-6.536931708093957
growth-rate,3.5,10,1.4149632705203694
beta,4.0,10,-5.964410095858936
rep-number,4.0,10,-5.754576414364025
growth-rate,4.0,10,1.6719468265761108
beta,4.5,10,-5.25263176748253
rep-number,4.5,10,-5.027320476887259
growth-rate,4.5,10,1.9074111557050428
beta,5.0,10,-4.593026746828971
rep-number,5.0,10,-4.34917798923198
growth-rate,5.0,10,2.1233804883616014
beta,5.5,10,-3.982741155310835
rep-number,5.5,10,-3.717104774044812
growth-rate,5.5,10,2.3209861699541006
beta,6.0,10,-3.420529747562142
rep-number,6.0,10,-3.1298302457479084
growth-rate,6.0,10,2.500845477095934
beta,6.5,10,-2.9057795631842827
rep-number,6.5,10,-2.586919249917888
growth-rate,6.5,10,2.6633853083948495
beta,7.0,10,-2.4378936559359765
rep-number,7.0,10,-2.0881607161463984
growth-rate,7.0,10,2.809009070279155
beta,7.5,10,-2.015808309311959
rep-number,7.5,10,-1.633053922831139
growth-rate,7.5,10,2.938260725403948
beta,8.0,10,-1.6377747023338505
rep-number,8.0,10,-1.2205281806422255
growth-rate,8.0,10,3.0519058001443025
beta,8.5,10,-1.3013002100302256
rep-number,8.5,10,-0.8487984357665832
growth-rate,8.5,10,3.15094153788638
beta,9.0,10,-1.0032790596956103
rep-number,9.0,10,-0.5154236842757625
growth-rate,9.0,10,3.2365579823429074
beta,9.5,10,-0.7402103499939365
rep-number,9.5,10,-0.21747495569195952
growth-rate,9.5,10,3.310086569437906
beta,10.0,10,-0.5084370972019461
rep-number,10.0,10,0.048257839958137705
growth-rate,10.0,10,3.372899487923917
beta,10.5,10,-0.30437849246451043
rep-number,10.5,10,0.2850294005597944
growth-rate,10.5,10,3.426324662864046
beta,11.0,10,-0.1246385391083833
rep-number,11.0,10,0.4960210182746576
growth-rate,11.0,10,3.4716132666428776
beta,11.5,10,0.03387387717384349
rep-number,11.5,10,0.6842040712904165
growth-rate,11.5,10,3.509897805391931
beta,12.0,10,0.17391758363461418
rep-number,12.0,10,0.8522892089693186
growth-rate,12.0,10,3.5421801827664545
beta,12.5,10,0.29792024988797094
rep-number,12.5,10,1.002704219384162
growth-rate,12.5,10,3.5693377643624062
beta,13.0,10,0.4079674394703734
rep-number,13.0,10,1.1375685062535172
growth-rate,13.0,10,3.5921088254301203
beta,13.5,10,0.5058563695688505
rep-number,13.5,10,1.2587386730884318
growth-rate,13.5,10,3.611125691001528
beta,14.0,10,0.5931399803207875
rep-number,14.0,10,1.3678422053992714
growth-rate,14.0,10,3.626926418858903
beta,14.5,10,0.6711517289230078
rep-number,14.5,10,1.4662917676028737
growth-rate,14.5,10,3.6399688315715473
beta,15.0,10,0.7410337157304241
rep-number,15.0,10,1.5553118336405813
growth-rate,15.0,10,3.6506398394230937
beta,15.5,10,0.8037581295609817
rep-number,15.5,10,1.63595697448854
growth-rate,15.5,10,3.659271199375048
beta,16.0,10,0.8601685641232979
rep-number,16.0,10,1.7091531531965052
growth-rate,16.0,10,3.6661407817127176
beta,16.5,10,0.9109908878225672
rep-number,16.5,10,1.7757034097975537
growth-rate,16.5,10,3.6714873905440086
beta,17.0,10,0.9568512989063469
rep-number,17.0,10,1.8363053044149065
growth-rate,17.0,10,3.6755106067623196
beta,17.5,10,0.9982909644113409
rep-number,17.5,10,1.8915656403193903
growth-rate,17.5,10,3.6783824824740354
beta,18.0,10,1.035779334031527
rep-number,18.0,10,1.9420177251209079
growth-rate,18.0,10,3.6802511380622387
beta,18.5,10,1.0697185813810768
rep-number,18.5,10,1.988124891586399
growth-rate,18.5,10,3.6812361695811675
beta,19.0,10,1.1004543239307167
rep-number,19.0,10,2.0302872673320405
growth-rate,19.0,10,3.68143703642244
beta,19.5,10,1.1282889871553388
rep-number,19.5,10,2.0688587143964123
growth-rate,19.5,10,3.6809307653970382
beta,20.0,10,1.1534962465597127
rep-number,20.0,10,2.1041586275046598
growth-rate,20.0,10,3.679791959089947
beta,20.5,10,1.1763231514355479
rep-number,20.5,10,2.1364770602148626
growth-rate,20.5,10,3.6780883093727064
beta,21.0,10,1.1969969449352758
rep-number,21.0,10,2.166080056220582
growth-rate,21.0,10,3.6758832184842087
beta,21.5,10,1.2157305311399083
rep-number,21.5,10,2.193216703384385
growth-rate,21.5,10,3.6732418749389515
beta,22.0,10,1.2327182747771557
rep-number,22.0,10,2.2181132717724585
growth-rate,22.0,10,3.6702315177550617
beta,22.5,10,1.248136026965426
rep-number,22.5,10,2.240974246348859
growth-rate,22.5,10,3.666922599485974
beta,23.0,10,1.2621407968020626
rep-number,23.0,10,2.26198389103657
growth-rate,23.0,10,3.66338583710207
beta,23.5,10,1.2748735722683686
rep-number,23.5,10,2.281308345463322
growth-rate,23.5,10,3.6596890546501704
beta,24.0,10,1.2864562111968079
rep-number,24.0,10,2.299093630235971
growth-rate,24.0,10,3.6558914679859225
beta,24.5,10,1.296989669509112
rep-number,24.5,10,2.3154640970693796
growth-rate,24.5,10,3.652039380115768
beta,25.0,10,1.3065516898254446
rep-number,25.0,10,2.3305202233028224
growth-rate,25.0,10,3.6481627608556964
beta,25.5,10,1.3151966569072582
rep-number,25.5,10,2.344338445768015
growth-rate,25.5,10,3.644272230067939
beta,26.0,10,1.3229579271274585
rep-number,26.0,10,2.356972067192804
growth-rate,26.0,10,3.640357829912964
beta,26.5,10,1.3298553331646117
rep-number,26.5,10,2.3684605515638415
growth-rate,26.5,10,3.6363953159762317
beta,27.0,10,1.3358970358059765
rep-number,27.0,10,2.378831747832455
